latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
6.22,24.442,318.6,2,1.4,2021-02-12,0020,A,97,6.0NRT,291,44.2,N
6.217,24.46,324,2,1.4,2021-02-12,0020,A,100,6.0NRT,291.6,58.8,N
6.205,24.458,304.7,2,1.4,2021-02-12,0020,A,61,6.0NRT,292.7,17.2,N
6.202,24.476,303.1,2,1.4,2021-02-12,0020,A,53,6.0NRT,291.3,16,N
6.199,24.469,305.8,2,1.4,2021-02-12,0020,A,47,6.0NRT,292.7,19.2,N
6.237,23.606,303.9,1.7,1.3,2021-02-12,0020,A,13,6.0NRT,289.2,13.3,N
6.228,23.589,309.6,1.7,1.3,2021-02-12,0020,A,75,6.0NRT,288.9,21.8,N
6.225,23.604,302.7,1.7,1.3,2021-02-12,0020,A,18,6.0NRT,288.3,12.1,N
6.24,23.599,304.6,1.7,1.3,2021-02-12,0020,A,33,6.0NRT,289,14.5,N
6.228,23.597,312.8,1.7,1.3,2021-02-12,0020,A,71,6.0NRT,289.7,26.1,N
6.108,23.914,304.6,1.8,1.3,2021-02-12,0020,A,61,6.0NRT,289.5,16.8,N
6.105,23.93,307.3,1.8,1.3,2021-02-12,0020,A,71,6.0NRT,289.7,21,N
6.093,23.571,300.7,1.7,1.3,2021-02-12,0020,A,32,6.0NRT,289.3,10.5,N
6.031,23.815,310.8,1.8,1.3,2021-02-12,0020,A,81,6.0NRT,290.2,26.5,N
6.025,23.727,310,1.8,1.3,2021-02-12,0020,A,78,6.0NRT,289.2,22.5,N
6.044,23.526,304.3,1.7,1.3,2021-02-12,0020,A,29,6.0NRT,287.9,14,N
6.032,23.524,308.5,1.7,1.3,2021-02-12,0020,A,75,6.0NRT,287.9,20.4,N
6.03,23.539,308,1.7,1.3,2021-02-12,0020,A,73,6.0NRT,289.4,19.6,N
6.007,23.613,302.1,1.7,1.3,2021-02-12,0020,A,44,6.0NRT,287.5,12.3,N
6.004,23.629,314.4,1.7,1.3,2021-02-12,0020,A,89,6.0NRT,289.4,30.4,N
6,23.659,319.6,1.7,1.3,2021-02-12,0020,A,99,6.0NRT,289.2,39.5,N
5.992,23.705,301.8,1.7,1.3,2021-02-12,0020,A,43,6.0NRT,289.8,10.8,N
5.993,23.627,302,1.7,1.3,2021-02-12,0020,A,29,6.0NRT,287.5,11.8,N
6.721,10.698,301.8,3,1.6,2021-02-12,0020,A,44,6.0NRT,290.9,24.6,N
5.133,19.547,300.2,1,1,2021-02-12,0020,A,21,6.0NRT,288.9,5,N
4.977,19.73,306.3,1,1,2021-02-12,0020,A,67,6.0NRT,290.9,8.2,N
5.81,13.273,312.3,1.8,1.3,2021-02-12,0020,A,45,6.0NRT,290.8,27.5,N
5.815,13.268,303.9,1.8,1.3,2021-02-12,0020,A,42,6.0NRT,289.7,14.9,N
5.813,13.284,305.2,1.8,1.3,2021-02-12,0020,A,54,6.0NRT,288.2,17.4,N
5.803,13.266,311.1,1.8,1.3,2021-02-12,0020,A,82,6.0NRT,290.5,26.4,N
5.801,13.282,308,1.8,1.3,2021-02-12,0020,A,72,6.0NRT,290,21.7,N
4.551,20.288,304.1,1.1,1.1,2021-02-12,0020,A,58,6.0NRT,292.1,6.9,N
-4.449,136.916,313.9,1.6,1.2,2021-02-12,0135,T,19,6.0NRT,296.8,11.4,D
-4.635,136.85,311.1,1.6,1.2,2021-02-12,0135,T,58,6.0NRT,294.1,8.6,D
-20.293,-59.421,313.5,1.6,1.2,2021-02-12,0220,T,74,6.0NRT,286.3,25.1,N
-20.294,-59.428,308,1.6,1.2,2021-02-12,0220,T,66,6.0NRT,285.9,18.6,N
-3.228,-56.813,305.6,1.1,1,2021-02-12,0220,T,65,6.0NRT,291.1,5.8,N
-34.884,-57.917,300.8,2,1.4,2021-02-12,0215,T,33,6.0NRT,288.1,11.6,N
-31.301,-51.861,302.5,1,1,2021-02-12,0215,T,29,6.0NRT,283.2,6.5,N
-28.879,-60.665,306.6,2.5,1.5,2021-02-12,0215,T,69,6.0NRT,290.2,29,N
-28.881,-60.691,307.4,2.5,1.5,2021-02-12,0215,T,71,6.0NRT,289.8,31.4,N
-24.206,-60.905,320.1,2.3,1.5,2021-02-12,0215,T,100,6.0NRT,289.8,59.5,N
-24.189,-60.861,300.4,2.3,1.5,2021-02-12,0215,T,27,6.0NRT,289.3,13.1,N
-24.193,-60.906,328.2,2.3,1.5,2021-02-12,0215,T,100,6.0NRT,289.8,89.1,N
-24.195,-60.929,301.6,2.3,1.5,2021-02-12,0215,T,42,6.0NRT,289.3,14.8,N
